Date,RBI_Repo,CPI,Inflation,Urban CPI,Urban Inflation,Total_Sales,Brent_Oil,Steel,Aluminium,USD_INR,NIFTY AUTO,NIFTY 50,FII,DII,Google Trends,TAMO,ASRS,Steel_ret,Aluminium_ret,USD_INR_ret,ICPI,IFD,RSVS
2018-01-01,0.8000000000000003,0.008278145695364447,0.5326460481099656,0.0016750418760467234,0.4439560439560438,0.7257059243646244,-0.18474415676636163,-1.0266290812669492,0.04520608627301207,-1.9098501881115681,-0.08999186445714594,-1.1424679040296233,0.5003750042399976,0.021093862242621806,-0.9473684210526315,398.27,0.1560274532353947,-0.06040770357098724,-1.5236995839915906,-0.012478903120212825,-0.15684698723936888,0.9190982871713785,-0.8715594564035787
2018-02-01,0.8000000000000003,0.0,0.4243986254295533,0.0,0.3538461538461537,0.7788701726270315,-0.38174445948706814,-0.9646127760484203,-0.023674408575064372,-1.8860173526400037,-0.10046768955659227,-1.10331373721588,-0.40294425439483617,0.7780622622819421,-0.8421052631578947,368.76,0.1560274532353947,-0.06040770357098724,-1.5236995839915906,-0.012478903120212825,-0.24961303705899213,-3.1483599609864887,-0.8715594564035787
2018-03-01,0.8000000000000003,0.0016556291390728006,0.3969072164948454,0.0,0.2659340659340659,0.7626839932412424,-0.34506887121459606,-0.8901932097861854,-0.3011439753306478,-1.9025170079664708,-0.17678668868130307,-1.1945851933943659,-0.18380358571893401,0.8838854567589436,-0.9473684210526315,325.85,0.6251933793080151,-0.07714967923926741,11.720232244696273,0.008748411197474493,0.5201564461975114,-1.525091688050381,-0.8715594564035787
2018-04-01,0.8000000000000003,0.011589403973509604,0.44845360824742264,0.013400335008375563,0.3318681318681318,0.7538941244099151,-0.025991253244090348,-0.799235962132343,0.15604599494765464,-1.6568554731057485,0.006006233444399686,-1.0439746525581013,-0.14718256864713297,0.5399260474717763,-0.9473684210526315,339.35,-1.0388758430264857,-0.10217697310417517,-1.5181773760418764,-0.12912448815545707,-0.25849652042873145,-1.749509929929855,-0.8715594564035787
2018-05-01,0.8000000000000003,0.023178807947020097,0.49828178694158076,0.023450586264656792,0.3978021978021976,0.7205288553660703,0.22916605373725013,-0.7317070964499448,0.2669352096314941,-1.4790258545871666,-0.13745121526017026,-1.0447449773893587,-0.7736293500805914,-0.596374965027562,-0.7894736842105263,281.63,-23.86788704271056,-0.08449177574821931,0.7106187808346958,-0.10732958994017938,-0.12670343022966468,0.12938235529501688,-13.702919699752583
2018-06-01,0.8999999999999999,0.0347682119205297,0.506872852233677,0.03685092127303147,0.4263736263736263,0.6297315658369188,0.09451425107974576,-0.6834721923910889,0.1139633160980958,-1.2901964658509402,-0.20230588952008555,-1.0500048516277867,-0.35475526733342466,0.9850023062905019,-0.6842105263157895,268.47,0.4644647694247426,-0.06592105542351478,-0.5730675010785465,-0.12767145898807397,-0.2013920431885601,-2.125765756616542,-12.606468962662573
2018-07-01,0.8999999999999999,0.056291390728477,0.37800687285223367,0.058626465661641536,0.3098901098901099,0.6970439145051996,0.08613125947460949,-0.6586656703036772,-0.26909506935265953,-1.2901964658509402,-0.1421551106952799,-0.8954102870548636,0.12847381440242406,-0.7126483020408781,-0.6842105263157895,263.29,-0.17600765325975665,-0.03629485202701155,-3.361242885570577,0.0,-0.35425327627612974,-1.4398473987516436,-13.711609730098049
2018-08-01,1.0,0.0662251655629138,0.2955326460481099,0.06700167504187604,0.2373626373626373,0.6784399115090494,-0.003985900280607116,-0.6517749697238406,-0.34485375248370304,-0.8227062316010598,-0.13408804364472984,-0.8174148978900754,-0.39683111994984865,0.6072576315530787,-0.7368421052631579,266.68,0.0332540288915264,-0.010461605774382599,0.28153129417528944,-0.3623403463142727,-0.16215006354584763,-4.771683681171259,-0.23302520152280062
2018-09-01,1.0,0.06291390728476776,0.29725085910652926,0.06867671691792276,0.3076923076923075,0.7812984479244691,0.3292380160235661,-0.6531531098398082,-0.406609529002827,-0.5477119761599536,-0.45654348434136377,-0.9979718165414623,-0.8554393202938225,0.24572202015924746,-0.8947368421052632,223.01,1.7887935586747559,0.002114441609427642,0.17907816305998403,-0.33425570984911934,-0.165740374720426,1.8060195113539093,-1.293465228482491
2018-10-01,1.0,0.0711920529801322,0.24226804123711332,0.08207705192629833,0.24835164835164825,0.8937795042416429,0.441360528742266,-0.661421950535612,-0.3982275074393535,-0.28188419590021696,-0.6314511324768108,-1.1288909288787157,-0.9476966448113107,1.1644604414466868,-0.47368421052631576,178.55,0.2227112012429402,0.012659881077243584,-0.020614424812004928,-0.4853422817654518,-0.1855088898395941,-9.74404914032259,-1.2246140954051536
2018-11-01,1.0,0.07284768211920545,0.061855670103092786,0.08375209380234505,0.0461538461538461,0.9999999999999999,-0.4116088670803663,-0.6255903075204621,-0.6234327044462169,-1.0720343565343295,-0.5292720705252661,-1.0108988301159967,0.4082257211450882,1.186561509901926,-0.7368421052631579,171.42,-0.06398346672462807,-0.054173652667762084,0.5655189377925134,2.8031020260313375,0.03573151944289879,-0.48804992515888324,-0.7029785064716653
